session_id,station_id,vehicle_id,session_start,session_end,kwh_delivered,session_type,cost_usd,payment_method,connector_used,user_id
SES-019811,STN-007,VH-004,2025-10-02 08:10:16,2025-10-02 09:53:16,73.54,DC Fast Charge,15.44,RFID,Tesla Supercharger,U-2206
SES-016990,STN-014,VH-014,24-Aug-2025 08:35:44,24-Aug-2025 10:50:44,37.44,Level 2,8.99,debit_card,Tesla Supercharger,U-9989
SES-003417,STN-003,VH-008,2025-02-23 18:55:15,2025-02-23 19:24:15,12.81,DC Fast Charge,$5.12,Credit Card,Tesla Supercharger,U-1587
SES-024841,STN-002,VH-009,12/10/2025 08:17,12/10/2025 09:11,67.22,DC Fast Charge,27.56,Google Pay,Tesla Supercharger,U-4722
SES-020880,STN-004,V_chevrolet_bolt_euv,2025/10/17 11:04,2025/10/17 11:31,25.96,DC Fast Charge,4.67,app_wallet,Tesla Supercharger,U-6207
SES-007585,STN-004,VH-004,17-Apr-2025 07:52:48,17-Apr-2025 09:24:48,41.36,DC Fast Charge,13.24,credit_card,CHAdeMO,U-3599
SES-012048,STN-012,VH-002,2025-06-25 06:04:53,2025-06-25 06:27:53,74.69,DC Fast Charge,11.95,debit_card,Tesla Supercharger,U-7133
SES-025900,STN-018,VH-014,12-23-2025 15:15:04,12-23-2025 17:06:04,23.49,DC Fast Charge,5.4,CREDIT_CARD,Tesla Supercharger,U-4128
SES-018635,STN-004,VH-002,2025-09-16 07:10:19,2025-09-16 09:35:19,4.85,Level 1,0.63,Google Pay,CCS,U-7287
SES-016785,STN-005,VH-005,08-21-2025 13:27:37,08-21-2025 15:20:37,36.62,Level 2,$9.89,Credit Card,CHAdeMO,U-7277
SES-008255,STN-007,VH-002,27-Apr-2025 20:23:51,27-Apr-2025 22:22:51,23.19,Level 2,3.48,Google Pay,Tesla Supercharger,U-1951
SES-018420,STN-013,VEH#0008,2025/09/13 16:50,2025/09/13 19:48,67.44,DC Fast Charge,10.79,RFID,CCS,U-8225
SES-023594,STN-002,VH-013,11/22/2025 18:10,11/22/2025 18:52,29.31,Level 2,$4.69,debit_card,J1772,U-9157
SES-020984,STN-002,VH-008,10-18-2025 11:01:06,10-18-2025 13:17:06,39.64,Level 2,17.44,RFID,J1772,U-9510
SES-013861,STN-017,VEH#0001,2025-07-18 15:55:06,2025-07-18 16:34:06,30.47,Level 2,7.92,credit card,CCS,U-6230
SES-005903,STN-002,VH-008,03/23/2025 15:06,03/23/2025 15:23,30.05,Level 2,$3.31,Google Pay,CHAdeMO,U-8205
SES-018697,STN-014,VH-011,2025-09-17 15:52:37,2025-09-17 17:05:37,63.73,DC Fast Charge,26.77,Credit Card,J1772,U-9478
SES-006891,STN-018,VH-008,04-06-2025 15:11:29,04-06-2025 17:02:29,21.27,Level 2,5.74,Credit Card,CCS,U-3508
SES-017604,STN-005,VH-001,09/03/2025 05:30,09/03/2025 07:04,31.67,Level 2,12.03,CREDIT_CARD,Tesla Supercharger,U-6528
SES-025277,STN-013,VH-011,2025-12-16 17:02:43,2025-12-16 18:06:43,16.32,Level 2,7.34,Credit Card,CHAdeMO,U-5389
SES-004382,STN-001,VH-002,2025-03-09 10:19:24,2025-03-09 10:47:24,27.92,DC Fast Charge,8.66,app_wallet,CHAdeMO,U-9791
SES-009622,STN-013,VH-003,05/18/2025 16:42,05/18/2025 17:44,5.16,Level 1,1.44,CREDIT_CARD,Tesla Supercharger,U-5920
SES-016116,STN-012,VH-001,12-Aug-2025 18:28:28,12-Aug-2025 21:05:28,39.31,Level 2,13.76,Credit Card,Tesla Supercharger,U-6811
SES-008915,STN-012,VH-004,07-May-2025 13:21:54,07-May-2025 14:23:54,30.6,Level 2,9.49,Apple Pay,CHAdeMO,U-1575
SES-023671,STN-011,VH-012,23-Nov-2025 11:50:12,23-Nov-2025 12:44:12,27.47,Level 2,6.87,debit_card,CCS,U-1870
SES-012393,STN-018,VH-009,30-Jun-2025 00:51:02,30-Jun-2025 03:23:02,50.45,DC Fast Charge,15.64,CREDIT_CARD,J1772,U-7687
SES-017683,STN-008,V_nissan_leaf,09/04/2025 16:08,09/04/2025 18:29,32.28,Level 2,12.91,debit_card,CHAdeMO,U-3412
SES-007191,STN-009,VH-004,11-Apr-2025 10:40:49,11-Apr-2025 11:11:49,6.58,Level 2,$2.7,Google Pay,Tesla Supercharger,U-5350
SES-022864,STN-003,VH-011,11-13-2025 12:00:07,11-13-2025 12:24:07,27.82,DC Fast Charge,11.96,debit_card,CHAdeMO,U-5536
SES-018457,STN-002,V_tesla_model_3,09/14/2025 15:13,09/14/2025 17:01,-8.28,Level 2,2.73,Credit Card,CHAdeMO,U-6766
SES-005419,STN-005,VH-002,16-Mar-2025 22:23:41,17-Mar-2025 00:49:41,27.94,Level 2,6.71,CREDIT_CARD,CHAdeMO,U-2522
SES-010634,STN-018,VH-004,06-03-2025 08:51:43,06-03-2025 09:16:43,41.32,DC Fast Charge,$8.68,CREDIT_CARD,CCS,U-3748
SES-002383,STN-002,VEH#0009,02-07-2025 16:59:17,02-07-2025 17:45:17,21.58,Level 2,$6.26,Google Pay,CCS,U-3817
SES-019794,STN09,VH-003,10/02/2025 09:49,10/02/2025 10:31,13.9,Level 2,5.42,debit_card,CCS,U-8726
SES-003626,STN-003,VH-008,2025-02-26 17:42:40,2025-02-26 19:25:40,12.74,Level 2,2.04,Google Pay,Tesla Supercharger,U-2695
SES-010443,STN-009,VH-002,31-May-2025 17:36:40,31-May-2025 19:42:40,39.06,DC Fast Charge,6.64,app_wallet,CHAdeMO,U-3572
SES-015772,STN-017,VH-001,07-Aug-2025 21:27:57,07-Aug-2025 23:11:57,29.94,DC Fast Charge,7.19,RFID,J1772,U-7424
SES-026557,STN-008,VH-004,12/28/2025 08:50,12/28/2025 10:43,8.66,Level 1,1.99,debit_card,Tesla Supercharger,U-5986
SES-004317,STN-004,VH-010,03/08/2025 17:24,03/08/2025 19:04,46.18,DC Fast Charge,12.01,debit_card,CCS,U-8191
SES-018605,STN-015,VH-013,16-Sep-2025 10:55:33,16-Sep-2025 13:06:33,8.23,Level 1,2.14,Credit Card,CCS,U-3310
SES-002392,STN-013,VH-012,08-Feb-2025 13:53:32,08-Feb-2025 15:19:32,64.86,DC Fast Charge,24.0,Apple Pay,J1772,U-5040
SES-014709,STN-013,VH-011,07-24-2025 08:58:15,07-24-2025 11:19:15,19.94,DC Fast Charge,$8.57,Credit Card,J1772,U-9937
SES-015373,STN-014,VH-004,2025/08/01 11:58,2025/08/01 12:26,59.94,DC Fast Charge,23.38,credit card,CCS,U-2919
SES-018669,STN-012,VH-008,09-17-2025 18:27:32,09-17-2025 21:14:32,10.61,DC Fast Charge,4.35,Apple Pay,CHAdeMO,U-2116
SES-025677,STN-009,VH-014,12-21-2025 23:36:39,12-22-2025 00:39:39,47.29,DC Fast Charge,11.35,RFID,CCS,U-2229
SES-003926,STN-014,VH-005,2025/03/03 07:52,2025/03/03 10:25,4.26,Level 1,$0.98,RFID,CHAdeMO,U-1120
SES-024573,STN-009,VH-003,06-Dec-2025 17:01:37,06-Dec-2025 18:44:37,2.85,Level 1,1.11,Apple Pay,CCS,U-1674
SES-000862,STN-002,VEH#0011,01/14/2025 17:46,01/14/2025 18:47,5.85,Level 2,1.17,RFID,Tesla Supercharger,U-1031
SES-014967,STN-003,VH-007,07/25/2025 06:30,07/25/2025 08:16,11.2,Level 2,4.37,RFID,CCS,U-9716
SES-009504,STN02,VH-012,05/16/2025 06:43,05/16/2025 08:45,64.58,DC Fast Charge,7.1,debit_card,Tesla Supercharger,U-5001
SES-021772,STN-006,VH-011,10/28/2025 03:52,10/28/2025 05:30,29.39,DC Fast Charge,11.76,Google Pay,Tesla Supercharger,U-7394
SES-000015,STN-018,VH-001,01-01-2025 05:37:30,01-01-2025 07:55:30,5.78,Level 1,0.69,debit_card,CHAdeMO,U-2122
SES-019083,STN-007,V_rivian_r1t,22-Sep-2025 20:28:43,22-Sep-2025 20:57:43,50.68,DC Fast Charge,$6.08,CREDIT_CARD,Tesla Supercharger,U-3657
SES-007048,STN-006,VH-008,04/09/2025 11:06,04/09/2025 11:59,25.56,Level 2,$3.83,credit_card,Tesla Supercharger,U-5789
SES-021013,STN-007,VH-007,2025-10-18 20:54:00,2025-10-18 22:56:00,52.62,DC Fast Charge,11.05,credit card,CCS,U-4389
SES-015056,STN-004,V_volkswagen_id.4,07-26-2025 07:44:49,07-26-2025 09:46:49,33.95,Level 2,10.86,Credit Card,CCS,U-6837
SES-022532,STN-009,VH-014,11/08/2025 18:37,11/08/2025 20:31,54.76,DC Fast Charge,22.45,Google Pay,J1772,U-7034
SES-014144,STN-016,VH-007,2025/07/20 15:20,2025/07/20 16:48,45.57,DC Fast Charge,18.23,app_wallet,J1772,U-3884
SES-010582,STN-015,VH-005,06-02-2025 09:28:10,06-02-2025 09:51:10,-49.02,DC Fast Charge,8.82,debit_card,CHAdeMO,U-9587
SES-019786,STN-012,VH-007,2025/10/01 13:08,2025/10/01 13:35,37.9,Level 2,6.82,debit_card,CCS,U-5167
SES-006212,STN-018,VH-011,03/28/2025 15:11,03/28/2025 16:14,55.07,DC Fast Charge,14.32,app_wallet,J1772,U-6161
SES-015840,STN-018,VH-004,08-Aug-2025 23:38:19,09-Aug-2025 00:05:19,74.62,DC Fast Charge,13.43,RFID,CHAdeMO,U-9413
SES-022822,STN-012,VH-002,2025-11-12 08:20:39,2025-11-12 10:14:39,38.51,Level 2,$6.16,CREDIT_CARD,CCS,U-9642
SES-011845,STN-003,VH-006,2025/06/22 16:26,2025/06/22 17:49,32.92,DC Fast Charge,13.17,debit_card,J1772,U-2101
SES-022734,STN-010,VH-006,2025-11-11 14:49:07,2025-11-11 16:55:07,59.26,DC Fast Charge,20.74,CREDIT_CARD,Tesla Supercharger,U-7597
SES-015759,STN-013,VH-007,08-07-2025 18:36:54,08-07-2025 18:56:54,3.31,Level 1,1.49,RFID,Tesla Supercharger,U-7549
SES-006509,STN-014,VH-003,04-01-2025 16:47:35,04-01-2025 17:18:35,16.85,Level 2,5.9,Google Pay,J1772,U-2771
SES-026475,STN-017,VH-003,12/28/2025 13:35,12/28/2025 16:01,67.65,DC Fast Charge,8.12,credit card,J1772,U-1912
SES-010378,STN-008,VH-014,05-30-2025 10:52:27,05-30-2025 13:21:27,26.88,DC Fast Charge,11.02,credit card,CHAdeMO,U-7583
SES-016769,STN-018,VH-007,08-21-2025 14:33:06,08-21-2025 17:22:06,13.83,Level 2,5.26,Apple Pay,J1772,U-4728
SES-023644,STN-017,VH-013,2025/11/22 12:37,2025/11/22 13:56,20.88,Level 2,3.76,Credit Card,J1772,U-1045
SES-016574,STN-016,V_ford_mustang_mach-e,08-18-2025 14:17:12,08-18-2025 14:41:12,36.72,DC Fast Charge,11.02,credit_card,CHAdeMO,U-8189
SES-006596,STN-016,VH-007,04/02/2025 12:17,04/02/2025 15:14,6.77,Level 2,2.71,credit card,CCS,U-5769
SES-020122,STN-001,VH-003,10-06-2025 07:44:35,10-06-2025 07:59:35,21.77,Level 2,8.27,RFID,CCS,U-6918
SES-005065,STN-018,VEH#0005,2025/03/14 20:16,2025/03/14 23:12,15.76,Level 2,1.89,Google Pay,CHAdeMO,U-8934
SES-026925,STN02,VEH#0013,31-Dec-2025 09:38:36,31-Dec-2025 12:08:36,22.69,Level 2,$7.26,credit_card,Tesla Supercharger,U-3880
SES-008202,STN-018,VH-010,04/26/2025 08:39,04/26/2025 09:33,7.26,Level 2,3.12,RFID,CCS,U-2865
SES-010232,STN-003,VH-003,2025/05/28 10:32,2025/05/28 12:46,66.51,DC Fast Charge,21.28,app_wallet,CHAdeMO,U-7356
SES-001043,STN-001,VH-003,17-Jan-2025 20:27:07,17-Jan-2025 22:09:07,21.78,Level 2,6.53,credit_card,CHAdeMO,U-2007
SES-010002,STN-018,VH-009,2025-05-24 10:29:55,2025-05-24 13:03:55,10.63,Level 2,2.87,credit card,Tesla Supercharger,U-7251
SES-011470,STN-012,VH-009,06/16/2025 01:52,06/16/2025 04:16,77.25,DC Fast Charge,19.31,app_wallet,CCS,U-6576
SES-003848,STN-007,VH-007,2025/03/01 21:33,2025/03/02 00:33,9.46,Level 2,3.03,debit_card,Tesla Supercharger,U-6465
SES-009119,STN-014,VH-013,2025-05-10 16:56:15,2025-05-10 18:41:15,17.52,Level 2,3.68,RFID,Tesla Supercharger,U-3301
SES-017326,STN-011,VH-012,08-29-2025 08:31:47,08-29-2025 10:36:47,10.7,Level 2,1.39,Apple Pay,CHAdeMO,U-8856
SES-014489,STN-014,VH-006,07-22-2025 13:17:28,07-22-2025 15:30:28,18.71,DC Fast Charge,6.17,Credit Card,Tesla Supercharger,U-6988
SES-015934,STN-007,VEH#0006,09-Aug-2025 14:14:02,09-Aug-2025 17:02:02,6.7,Level 1,$1.94,credit_card,CCS,U-6490
SES-024441,STN-010,VH-009,2025-12-04 17:10:17,2025-12-04 19:28:17,32.86,Level 2,14.13,RFID,Tesla Supercharger,U-9709
SES-013558,STN-015,VH-007,07/16/2025 09:56,07/16/2025 11:57,67.6,DC Fast Charge,21.63,app_wallet,Tesla Supercharger,U-8669
SES-010248,STN-010,V_chevrolet_bolt_ev,28-May-2025 09:07:32,28-May-2025 10:12:32,7.29,Level 1,2.7,credit_card,Tesla Supercharger,U-5148
SES-011887,STN-014,VH-006,06-23-2025 20:47:12,06-23-2025 23:33:12,30.38,Level 2,$6.99,debit_card,CCS,U-6441
SES-013868,STN-008,VH-003,07-18-2025 09:26:45,07-18-2025 10:48:45,79.9,DC Fast Charge,25.57,credit_card,CHAdeMO,U-6924
SES-000592,STN-017,VH-013,2025/01/10 17:21,2025/01/10 19:03,37.9,Level 2,4.17,RFID,CHAdeMO,U-2228
SES-017817,STN-002,VH-004,2025/09/06 11:16,2025/09/06 12:02,32.68,Level 2,5.23,Apple Pay,Tesla Supercharger,U-4739
SES-009611,STN-010,VH-003,2025/05/18 02:12,2025/05/18 03:48,65.23,DC Fast Charge,13.7,credit_card,CHAdeMO,U-2990
SES-014855,STN-009,VEH#0006,07-25-2025 07:32:37,07-25-2025 09:17:37,60.41,DC Fast Charge,12.08,RFID,CCS,U-9182
SES-024221,STN-011,VH-002,2025/12/01 19:42,2025/12/01 20:14,51.66,DC Fast Charge,19.63,Google Pay,CHAdeMO,U-1209
SES-024340,STN-008,VH-002,12-02-2025 18:26:31,12-02-2025 20:42:31,11.19,DC Fast Charge,$3.36,RFID,Tesla Supercharger,U-4959
SES-010712,STN-007,VH-008,2025/06/05 07:34,2025/06/05 09:17,48.06,DC Fast Charge,16.34,RFID,CCS,U-3192
SES-018757,STN01,VH-007,18-Sep-2025 11:24:09,18-Sep-2025 13:22:09,8.1,Level 1,2.59,app_wallet,CHAdeMO,U-6935
SES-021988,STN-003,VH-011,01-Nov-2025 05:02:28,01-Nov-2025 07:43:28,4.45,Level 1,1.16,debit_card,J1772,U-5088
SES-013344,STN-007,VH-008,2025/07/15 12:02,2025/07/15 13:24,21.11,Level 2,9.29,Google Pay,CHAdeMO,U-2931
SES-026363,STN-010,VH-006,2025/12/26 05:24,2025/12/26 08:00,52.62,DC Fast Charge,12.1,app_wallet,J1772,U-3699
SES-000190,STN-018,VEH#0013,03-Jan-2025 17:22:30,03-Jan-2025 19:51:30,17.04,Level 2,$5.11,CREDIT_CARD,J1772,U-3946
SES-021699,STN-012,V_tesla_model_s,2025-10-27 18:26:11,2025-10-27 19:00:11,39.7,Level 2,8.34,Credit Card,CCS,U-9887
SES-010960,STN-009,VH-011,06/09/2025 10:50,06/09/2025 12:46,76.42,DC Fast Charge,20.63,credit_card,Tesla Supercharger,U-7660
SES-015320,STN-013,VH-001,2025-07-31 20:22:04,2025-07-31 22:44:04,29.96,DC Fast Charge,3.89,RFID,CHAdeMO,U-3649
SES-007226,STN-015,VH-010,11-Apr-2025 10:36:41,11-Apr-2025 11:21:41,62.52,DC Fast Charge,28.13,credit card,CHAdeMO,U-3076
SES-008398,STN-005,VH-005,29-Apr-2025 17:32:34,29-Apr-2025 18:54:34,5.32,Level 2,2.23,credit_card,CHAdeMO,U-6269
SES-018986,STN-018,VEH#0007,09/20/2025 17:55,09/20/2025 20:06,16.52,Level 2,4.46,Credit Card,J1772,U-4606
SES-023121,STN-018,VH-011,11/15/2025 19:29,11/15/2025 20:41,None,DC Fast Charge,8.34,Apple Pay,CCS,U-5369
SES-001092,STN-013,VH-008,2025/01/17 07:58,2025/01/17 10:18,25.89,Level 2,10.36,CREDIT_CARD,CCS,U-1183
SES-005964,STN-013,VH-009,2025-03-24 06:14:35,2025-03-24 07:54:35,36.71,DC Fast Charge,6.24,Google Pay,J1772,U-4764
SES-001059,STN-012,VH-009,2025-01-17 20:36:28,2025-01-17 22:55:28,75.28,DC Fast Charge,$21.83,credit_card,J1772,U-9848
SES-016011,STN-017,VH-011,08-10-2025 10:54:13,08-10-2025 12:31:13,32.23,Level 2,3.55,CREDIT_CARD,CCS,U-3708
SES-000160,STN-002,VH-014,2025/01/03 01:08,2025/01/03 02:56,5.55,Level 1,1.5,CREDIT_CARD,Tesla Supercharger,U-9006
SES-003746,STN-016,VH-012,2025/02/28 07:24,2025/02/28 09:20,27.8,Level 2,7.23,credit_card,J1772,U-4861
SES-010542,STN-014,VH-002,06/02/2025 08:22,06/02/2025 09:27,9.34,Level 1,1.4,credit_card,CHAdeMO,U-8238
